event_id	event_type	event_name	age_ma	scale
700	TOP	C1n	0.000000	Berg85
701	BOT	C1n	0.730000	Berg85
702	TOP	C1r.1n	0.910000	Berg85
703	BOT	C1r.1n	0.980000	Berg85
704	TOP	C2n	1.660000	Berg85
705	BOT	C2n	1.880000	Berg85
708	TOP	C2An.1n	2.470000	Berg85
709	BOT	C2An.1n	2.920000	Berg85
710	TOP	C2An.2n	2.990000	Berg85
711	BOT	C2An.2n	3.080000	Berg85
712	TOP	C2An.3n	3.180000	Berg85
713	BOT	C2An.3n	3.400000	Berg85
714	TOP	C3n.1n	3.880000	Berg85
715	BOT	C3n.1n	3.970000	Berg85
716	TOP	C3n.2n	4.100000	Berg85
717	BOT	C3n.2n	4.240000	Berg85
718	TOP	C3n.3n	4.400000	Berg85
719	BOT	C3n.3n	4.470000	Berg85
720	TOP	C3n.4n	4.570000	Berg85
721	BOT	C3n.4n	4.770000	Berg85
722	TOP	C3An.1n	5.350000	Berg85
723	BOT	C3An.1n	5.530000	Berg85
724	TOP	C3An.2n	5.680000	Berg85
725	BOT	C3An.2n	5.890000	Berg85
732	TOP	C4n.2n	6.850000	Berg85
733	BOT	C4n.2n	7.280000	Berg85
736	TOP	C4An	7.900000	Berg85
737	BOT	C4An	8.210000	Berg85
738	TOP	C4Ar.1n	8.410000	Berg85
739	BOT	C4Ar.1n	8.500000	Berg85
740	TOP	C4Ar.2n	8.710000	Berg85
741	BOT	C4Ar.2n	8.800000	Berg85
742	TOP	C5n.1n	8.920000	Berg85
745	BOT	C5n.2n	10.420000	Berg85
746	TOP	C5r.1n	10.540000	Berg85
747	BOT	C5r.1n	10.590000	Berg85
750	TOP	C5r.2n	11.030000	Berg85
751	BOT	C5r.2n	11.090000	Berg85
752	TOP	C5An.1n	11.550000	Berg85
753	BOT	C5An.1n	11.730000	Berg85
754	TOP	C5An.2n	11.860000	Berg85
755	BOT	C5An.2n	12.120000	Berg85
756	TOP	C5Ar.1n	12.460000	Berg85
757	BOT	C5Ar.1n	12.490000	Berg85
758	TOP	C5Ar.2n	12.580000	Berg85
759	BOT	C5Ar.2n	12.620000	Berg85
760	TOP	C5AAn	12.830000	Berg85
761	BOT	C5AAn	13.010000	Berg85
762	TOP	C5ABn	13.200000	Berg85
763	BOT	C5ABn	13.460000	Berg85
764	TOP	C5ACn	13.690000	Berg85
765	BOT	C5ACn	14.080000	Berg85
766	TOP	C5ADn	14.200000	Berg85
767	BOT	C5ADn	14.660000	Berg85
768	TOP	C5Bn.1n	14.870000	Berg85
769	BOT	C5Bn.1n	14.960000	Berg85
770	TOP	C5Bn.2n	15.130000	Berg85
771	BOT	C5Bn.2n	15.270000	Berg85
